"age","pop18"
0,68566
1,70145
2,71486
3,72308
4,72786
5,72189
6,71826
7,71594
8,72574
9,72251
10,74332
11,74642
12,73784
13,73630
14,74264
15,72538
16,71082
17,72618
18,71144
19,70427
20,70648
21,71309
22,71938
23,72263
24,73907
25,75134
26,76924
27,74274
28,75597
29,74605
30,74655
31,75943
32,77324
33,79327
34,77142
35,78185
36,78589
37,77531
38,77394
39,71991
40,69227
41,66706
42,63919
43,65135
44,61588
45,61694
46,64756
47,70247
48,71616
49,68609
50,67020
51,67234
52,69504
53,74136
54,76675
55,78055
56,78573
57,80298
58,80586
59,77410
60,76563
61,74728
62,71267
63,69884
64,67081
65,64282
66,62099
67,58949
68,56125
69,53027
70,51191
71,52520
72,37830
73,37631
74,36526
75,37454
76,32384
77,29551
78,27723
79,26042
80,24295
81,22468
82,21132
83,19544
84,17345
85,121684
