"state","white","black","native","asian","pacific","mix","total"
"Alabama",3379955,1310802,34375,73167,5207,84365,4887871
"Alaska",481879,27942,113516,49025,10221,54855,737438
"Arizona",5937806,364280,380160,263696,19789,205915,7171646
"Arkansas",2385213,472287,30225,50301,10881,64918,3013825
"California",28531740,2556000,651076,6063600,199872,1554757,39557045
"Colorado",4959310,259711,91120,197634,10933,176856,5695564
"Connecticut",2859280,429298,19943,173799,3840,86505,3572665
"Delaware",672019,222070,6458,39584,1049,25991,967171
"District of Columbia",320374,326181,4296,31025,975,19604,702455
"Florida",16472125,3600121,106984,631737,24353,464005,21299325
"Georgia",6360528,3411145,54882,453488,12432,227000,10519475
"Hawaii",363549,31138,5629,534651,144806,340718,1420491
"Idaho",1632188,15775,30449,27819,3883,44094,1754208
"Illinois",9791840,1860190,75567,748722,8445,256316,12741080
"Indiana",5694468,658729,27740,165368,4542,141031,6691878
"Iowa",2864126,124819,16681,85708,4232,60579,3156145
"Kansas",2515351,178618,34817,91229,3619,87871,2911505
"Kentucky",3913936,375972,13412,72806,4058,88218,4468402
"Louisiana",2930432,1526090,36500,84271,2889,79796,4659978
"Maine",1265648,21877,9657,16674,455,24093,1338404
"Maryland",3552355,1867592,36188,405682,6746,174155,6042718
"Massachusetts",5577194,617097,34112,492508,7417,173821,6902149
"Michigan",7923927,1408392,73499,337336,4142,248619,9995915
"Minnesota",4718176,380414,76616,288975,4145,142853,5611179
"Mississippi",1766301,1128912,18423,32152,1812,38930,2986530
"Missouri",5082571,724529,35019,131046,9585,143702,6126452
"Montana",945132,6237,70603,9852,893,29588,1062305
"Nebraska",1703446,98757,28663,52343,2338,43721,1929268
"Nevada",2253711,305848,50871,264411,23962,135589,3034392
"New Hampshire",1264217,23293,4090,40460,637,23761,1356458
"New Jersey",6416347,1337754,54706,889251,9984,200478,8908520
"New Mexico",1718901,53576,228493,37256,3404,53798,2095428
"New York",13619931,3447729,190414,1750013,26745,507377,19542209
"North Carolina",7334411,2306797,163078,329284,12989,237061,10383620
"North Dakota",661549,25620,41962,13426,573,16947,760077
"Ohio",9571522,1517999,33566,287222,6994,272139,11689442
"Oklahoma",2924365,306890,367043,92179,7568,245034,3943079
"Oregon",3635926,92958,76023,202394,18999,164413,4190713
"Pennsylvania",10476085,1531457,49563,474071,10056,265828,12807060
"Rhode Island",887259,88411,11308,38419,2135,29783,1057315
"South Carolina",3483455,1380145,27694,89962,5153,97718,5084127
"South Dakota",744733,21000,79412,15093,747,21250,882235
"Tennessee",5315272,1155631,31826,128526,6496,132259,6770010
"Texas",22624867,3673855,290961,1486266,42333,583563,28701845
"Utah",2865634,45700,48628,85389,33495,82259,3161105
"Vermont",589986,8753,2457,12581,247,12275,626299
"Virginia",5918670,1691267,46409,589046,9998,262295,8517685
"Washington",5944924,322826,144450,703455,59001,360935,7535591
"West Virginia",1687993,65231,4526,15338,528,32216,1805832
"Wisconsin",5063526,389047,67571,176147,3243,114034,5813568
"Wyoming",534943,7557,15860,6213,572,12592,577737
